Anakinra|For the treatment of adult rheumatoid arthritis and treatment of Neonatal-Onset Multisystem Inflammatory Disease (NOMID). |Antirheumatic Agents
Gramicidin D|For treatment of skin lesions, surface wounds and eye infections|Anti-Bacterial Agents
Intravenous Immunoglobulin|IVIg is used in the treatment of immunodeficiencies, as well as autoimmune and inflammatory disorders. These indications includes idiopathic thrombocytopenic purpura, Kawasaki disease, hypogammaglobulinemia, B cell chronic lymphocytic leukemia, bone marrow transplant complications, Guillain-Barré syndrome, chronic inflammatory demyelinating polyneuropathy (CIDP), multiple sclerosis, rheumatoid arthritis, myesthenia gravis, Wiskott–Aldrich syndrome and inflammatory skin diseases.|Immunologic Factors
Anistreplase|For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction|Fibrinolytic Agents
Insulin Regular|Indicated as an adjunct to diet and exercise to improve glycemic control in adults and children with type 1 and type 2 diabetes mellitus. |Antidiabetic Agents
Tenecteplase|For treatment of myocardial infarction and lysis of intracoronary emboli|Fibrinolytic Agents
Menotropins|For the treatment of female infertility|Fertility Agents, Female
Interferon gamma-1b|Interferon gamma-1b is used for the treatment of Chronic granulomatous disease and Osteopetrosis.|Immunosuppressive Agents
Interferon Alfa-2a, Recombinant|For the treatment of chronic hepatitis C, hairy cell leukemia, AIDS-related Kaposi's sarcoma, and chronic myelogenous leukemia. Also for the treatment of oral warts arising from HIV infection.|
Desmopressin|Oral formulations may be used to manage primary nocturnal enuresis in adults and vasopressin sensitive diabetes insipidus, and for control of temporary polyuria and polydipsia following head trauma or surgery in the pituitary region. Intranasal and parenteral formulations may be used to manage spontaneous or trauma-induced bleeds (e.g. hemarthrosis, intramuscular hematoma, mucosal bleeding) in patients with hemophilia A or von Willebrand's disease Type I. May also be used parenterally to prevent or treat bleeding in patients with uremia. |Antidiuretic Agents
Coagulation factor VIIa|For treatment of hemorrhagic complications in hemophilia A and B|Coagulants
Oprelvekin|Increases reduced platelet levels due to chemotherapy|Antineoplastic Agents
Palifermin|For treatment of oral mucositis associated with chemotherapy and radiation therapy.|Anti-Mucositis Agents
Glucagon recombinant|For treatment of severe hypoglycemia, also used in gastrointestinal imaging|Hypoglycemic Agents
Aldesleukin|For treatment of adults with metastatic renal cell carcinoma.|Antineoplastic Agents
Botulinum Toxin Type B|For the treatment of patients with cervical dystonia to reduce the severity of abnormal head position and neck pain associated with cervical dystonia.|Antidystonic Agents
Omalizumab|For treatment of asthma caused by allergies|Anti-Allergic Agents
Lutropin alfa|For treatment of infertility in women with hypothalamic or pituitary insufficiency (hypogonadotropic hypogonadism) and profound LH deficiency (LH <1.2 international units [IU]/L)|Fertility Agents
OspA lipoprotein|For prophylactic treatment of Lyme Disease|Vaccines
Insulin Lispro|For the treatment of Type 1 or 2 diabetes mellitus. To be used in conjunction with an intermediate or long-acting insulin except when used in a continuous insulin infusion pump. |Hypoglycemic Agents
Insulin Glargine|For the treatment of Type 1 or 2 diabetes mellitus in patients over 17 years old who require a long-acting (basal) insulin for the control of hyperglycemia. May be used in pediatric patients with Type 1 diabetes mellitus who require a long-acting (basal) insulin for glycemic control.  |Hypoglycemic Agents
Collagenase|Used to promote debridement of necrotic tissue in the treatment of severe burns and dermal ulcers including decubitus ulcers.|component
Rasburicase|For treatment of hyperuricemia, reduces elevated plasma uric acid levels (from chemotherapy)|Gout Suppressants
Cetrorelix|For the inhibition of premature LH surges in women undergoing controlled ovarian stimulation|Hormone Antagonists
Adalimumab|For treatment of rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and Crohn's disease.|Antirheumatic Agents
Somatropin recombinant|For treatment of dwarfism, acromegaly and prevention of HIV-induced weight loss|Hormone Replacement Agents
Imiglucerase|For the treatment of Gaucher's disease (deficiency in glucocerebrosidase)|Enzyme Replacement Agents
Abciximab|Abciximab is indicated as an adjunct to percutaneous coronary intervention for the prevention of cardiac ischemic complications in patients undergoing percutaneous coronary intervention and in patients with unstable angina not responding to conventional medical therapy when percutaneous coronary intervention is planned within 24 hours. Abciximab is intended for use with aspirin and heparin and has been studied only in that setting.|Anticoagulants
Drotrecogin alfa|For reduction of mortality in patients with severe sepsis.|Antisepsis
Gemtuzumab ozogamicin|For treatment of CD33-positive acute myeloid leukemia in patients 60 and over who are not candidates for other chemotherapy.|Antineoplastic Agents
Satumomab Pendetide|For diagnosis of extrahepatic malignant cancers|Diagnostic Agents
Alpha-1-proteinase inhibitor|For treatment of panacinar emphysema|Serine Proteinase Inhibitors
Pegaspargase|For treatment of acute lymphoblastic leukemia|Antineoplastic Agents
Interferon beta-1a|For treatment of relapsing/remitting multiple sclerosis, also for condyloma acuminatum|Antineoplastic Agents
Pegademase bovine|For treatment of adenosine deaminase deficiency|Enzyme Replacement Agents
Human Serum Albumin|For treatment of severe blood loss, hypervolemia, hypoproteinemia|Serum substitutes
Eptifibatide|For treatment of myocardial infarction and acute coronary syndrome.|Platelet Aggregation Inhibitors
Serum albumin iodonated|For determination of total blood and plasma volumes|Diagnostic Agents
Infliximab|To manage the signs and symptoms, as well as to induce and maintain clinical remission in adults with moderate to severe active Crohn's disease or ulcerative colitis. Also used to manage signs and symptoms of rheumatoid arthritis (in conjunction with methotrexate), ankylosing spondylitis, psoriatic arthritis, and juvenile arthritis.|Antirheumatic Agents
Follitropin beta|For treatment of female infertility|Fertility Agents
Vasopressin|For the treatment of enuresis, polyuria, diabetes insipidus, polydipsia and oesophageal varices with bleeding|Antidiuretic Agents
Interferon beta-1b|Interferon beta-1b is a drug used for the treatment of relapsing/remitting multiple sclerosis. It has been shown to slow the advance of the disease as well as to decrease the frequency of attacks.|Adjuvants, Immunologic
Interferon alfacon-1|For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma|Antiviral Agents
Hyaluronidase|For increase of absorption and distribution of other injected drugs and for rehydration.|Adjuvants, Anesthesia
Insulin, porcine|For the treatment of type I and II diabetes mellitus.|Hypoglycemic Agents
Trastuzumab|For treatment of early stage HER2-positive breast cancer, or metastatic breast cancer that substantially overexpress HER2.|Antineoplastic Agents
Rituximab|For treatment of CD20-positive non-Hodgkins lymphoma, chronic lymphocytic leukemia, and rheumatoid arthritis.|Antineoplastic Agents
Basiliximab|For prophylactic treatment of kidney transplant rejection|Immunosuppressive Agents
Muromonab|For treatment of organ transplant recipients, prevention of organ rejection|Immunologic Factors
Digoxin Immune Fab (Ovine)|For treatment of digitoxin overdose or digitalis glycoside toxicity.|Antidotes
Ibritumomab|For treatment of non-Hodgkin's lymphoma|component
Daptomycin|For the treatment of complicated skin and skin structure infections caused by susceptible strains of Gram-positive microorganisms.|
Tositumomab|For treatment of non-Hodgkin's lymphoma (CD20 positive, follicular)|component
Pegvisomant|Pegvisomant is a growth hormone receptor antagonist used for the treatment of acromegaly.|Hormone Replacement Agents
Botulinum Toxin Type A|For the treatment of cervical dystonia in adults to decrease the severity of abnormal head position and neck pain associated with cervical dystonia. Also for the treatment of severe primary axillary hyperhidrosis that is inadequately managed with topical agents and for the treatment of strabismus and blepharospasm associated with dystonia, including benign essential blepharospasm or VII nerve disorders in patients 12 years of age and above. Also used cosmetically to temporarily improve the appearance of moderate-to-severe frown lines between the eyebrows (glabellar lines) as well as for the treatment of excessive underarm sweating.|Neuromuscular Blocking Agents
Pancrelipase|For treatment of exocrine pancreatic insufficiency in cystic fibrosis (Ultresa™), chronic pancreatitis (Viokace™ in combination with a proton pump inhibitor), and pancreatectomy (Viokace™ in combination with a proton pump inhibitor).   |Gastrointestinal Agents
Streptokinase|For the treatment of acute evolving transmural myocardial infarction, pulmonary embolism, deep vein thrombosis, arterial thrombosis or emolism and occlusion of arteriovenous cannulae|Fibrinolytic Agents
Alemtuzumab|Alemtuzumab (Campath) is a monoclonal antibody therapy used for treatment of B-cell chronic lymphocytic leukemia.|component
Alglucerase|For the treatment of Gaucher's disease (deficiency in glucocerebrosidase)|Enzyme Replacement Agents
Capromab|For diagnosis of prostate cancer and detection of intra-pelvic metastases.|Indicators and Reagents
Laronidase|For the treatment of mucopolysaccharidosis|Enzyme Replacement Agents
Cyclosporine|For treatment of transplant (kidney, liver, and heart) rejection, rheumatoid arthritis, severe psoriasis. |Antirheumatic Agents
Alefacept|As an immunosuppressive drug, Alefacept can be used for treatment of moderate to severe chronic plaque psoriasis|Dermatologic Agents
Felypressin|For use as an alternative to adrenaline as a localising agent, provided that local ischaemia is not essential.|Vasoconstrictor Agents
Urofollitropin|For treatment of female infertility|Fertility Agents
Efalizumab|For the treatment of adult patients with moderate to severe chronic plaque psoriasis, who are candidates for phototherapy or systemic therapy.|Immunosuppressive Agents
Serum albumin|For treatment of severe blood loss, hypervolemia, hypoproteinemia.|Serum substitutes
Choriogonadotropin alfa|For the treatment of female infertility|Fertility Agents
Antithymocyte globulin|For prevention of renal transplant rejection|Immunologic Factors
Filgrastim|Filgrastim is used in patients with acute myeloid leukemia receiving induction or consolidation chemotherapy. It is also used in cancer patients receiving bone marrow transplant. In general, filgrastim increases neutrophil counts in order to decrease the risk of infection or duration of neutropenia in the aforementioned patient populations. Infection and neutropenia are adverse events associated with chemotherapy. Furthermore, filgrastim is also indicated for patients with severe chronic neutropenia. It mobilizes hematopoietic progenitor cells into the peripheral blood for collection by leukapheresis to allow for a more rapid engraftment. Tbo-filgrastim has a narrower indication profile than Neupogen - it is a leukocyte growth factor indicated for the reduction in the duration of severe neutropenia in patients with non-myeloid malignancies.|Immunosuppressive Agents
Coagulation Factor IX|For treatment of hemophilia (Christmas disease).|Coagulants
Becaplermin|For topical treatment of skin ulcers (from diabetes)|Angiogenesis Inducing Agents
Agalsidase beta|For treatment of Fabry's disease (alpha-galactosidase A deficiency)|Enzyme Replacement Agents
Octreotide|For treatment of acromegaly and reduction of side effects from cancer chemotherapy|Antineoplastic Agents, Hormonal
Interferon Alfa-2b, Recombinant|For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma.|Immunosuppressive Agents
Abarelix|For palliative treatment of advanced prostate cancer.|Anti-Testosterone Agents
Oxytocin|Used for labor induction, augmentation of labor, postpartum abbreviation of third stage of labor, postpartum control of uterine bleeding, termination of pregnancy and for the evaluation of fetal respiratory capability. Oxytocin cannot be used for elective induction of labor, there must be a clear medical requirement. |Oxytocics
Natalizumab|For treatment of multiple sclerosis.|Immunosuppressive Agents
Enfuvirtide|Enfuvirtide is an antiretroviral drug used in combination therapy for the treatment of HIV-1/AIDS.|HIV Fusion Inhibitors
Palivizumab|For prophylaxis of respiratory diseases casued by respiratory syncytial virus.|Antiviral Agents
Daclizumab|Zenapax is a humanized monoclonal antibody used for prevention of renal transplant rejection|Immunosuppressive Agents
Bevacizumab|As part of combination therapy for metastatic colorectal cancer and HER2-negative metastatic breast cancer.|Angiogenesis Inhibitors
Arcitumomab|For imaging colorectal tumors|Diagnostic Agents
Cyanocobalamin|For treatment of pernicious anemia (due to lack of or inhibition of intrinsic factor) and for prevention and treatment of vitamin B 12 deficiency.|Vitamin B Complex
Tetrahydrofolic acid|For nutritional supplementation, also for treating dietary shortage or imbalance.|Dietary Supplements
L-Histidine|The actions of supplemental L-histidine are entirely unclear. It may have some immunomodulatory as well as antioxidant activity. L-histidine may be indicated for use in some with rheumatoid arthritis. It is not indicated for treatment of anemia or uremia or for lowering serum cholesterol.|Dietary Supplements
S-Adenosylmethionine|S-Adenosylmethionine (SAMe) is used as a drug in Europe for the treatment of depression, liver disorders, fibromyalgia, and osteoarthritis. It has also been introduced into the United States market as a dietary supplement for the support of bone and joint health, as well as mood and emotional well being.|Dietary Supplements
Pyruvic acid|For nutritional supplementation, also for treating dietary shortage or imbalance|Dietary Supplements
L-Phenylalanine|L-phenylalanine may be helpful in some with depression. It may also be useful in the treatment of vitiligo. There is some evidence that L-phenylalanine may exacerbate tardive dyskinesia in some schizophrenic patients and in some who have used neuroleptic drugs.|Dietary Supplements
Biotin|For nutritional supplementation, also for treating dietary shortage or imbalance.|Vitamin B Complex
Choline|For nutritional supplementation, also for treating dietary shortage or imbalance|Lipotropic Agents
L-Lysine|Supplemental L-lysine has putative anti-herpes simplex virus activity. There is preliminary research suggesting that it may have some anti-osteoporotic activity.|Dietary Supplements
L-Arginine|Used for nutritional supplementation, also for treating dietary shortage or imbalance.|Dietary Supplements
Vitamin C|Used to treat vitamin C deficiency, scurvy, delayed wound and bone healing, urine acidification, and in general as an antioxidant. It has also been suggested to be an effective antiviral agent.|Antioxidants
Spermine|For nutritional supplementation, also for treating dietary shortage or imbalance|Dietary Supplements
L-Aspartic Acid|There is no support for the claim that aspartates are exercise performance enhancers, i.e. ergogenic aids.|Dietary Supplements
L-Ornithine|Used for nutritional supplementation, also for treating dietary shortage or imbalance. It has been claimed that ornithine improves athletic performance, has anabolic effects, has wound-healing effects, and is immuno-enhancing.|Dietary Supplements
L-Glutamine|Used for nutritional supplementation, also for treating dietary shortage or imbalance.|Dietary Supplements
Adenosine monophosphate|For nutritional supplementation, also for treating dietary shortage or imbalance|Dietary Supplements
Alpha-Linolenic Acid|For nutritional supplementation and for treating dietary shortage or imbalance.|Dietary Supplements
L-Serine|Used as a natural moisturizing agent in some cosmetics and skin care products.|Dietary Supplements
L-Methionine|Used for protein synthesis including the formation of SAMe, L-homocysteine, L-cysteine, taurine, and sulfate.|Dietary Supplements
L-Tyrosine|Tyrosine is claimed to act as an effective antidepressant, however results are mixed. Tyrosine has also been claimed to reduce stress and combat narcolepsy and chronic fatigue, however these claims have been refuted by some studies.|Dietary Supplements
Calcitriol|Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.|Bone Density Conservation Agents
Xanthophyll|Xanthophylls are taken for nutritional supplementation, and also for treating dietary shortage or imbalance.|Dietary Supplements
L-Cystine|It has been claimed that L-cysteine has anti-inflammatory properties, that it can protect against various toxins, and that it might be helpful in osteoarthritis and rheumatoid arthritis. More research will have to be done before L-cysteine can be indicated for any of these conditions. Research to date has mostly been in animal models.|Dietary Supplements
Succinic acid|For nutritional supplementation, also for treating dietary shortage or imbalance|Dietary Supplements
Riboflavin|For the treatment of ariboflavinosis (vitamin B2 deficiency).|Vitamin B Complex
N-Acetyl-D-glucosamine|For the treatment and prevention of osteoarthritis, by itself or in combination with chondroitin sulfate.|Dietary Supplements
Glutathione|For nutritional supplementation, also for treating dietary shortage or imbalance|Dietary Supplements
Phosphatidylserine|Phosphatidylserine has demonstrated some usefulness in treating cognitive impairment, including Alzheimer's disease, age-associated memory impairment and some non-Alzheimer's dementias. More research is needed before phosphatidylserine can be indicated for immune enhancement or for reduction of exercise stress.|Dietary Supplements
Glycine|Supplemental glycine may have antispastic activity. Very early findings suggest it may also have antipsychotic activity as well as antioxidant and anti-inflammatory activities.|Glycine Agents
Calcidiol|Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.|Bone Density Conservation Agents
Pyridoxal|Pyridoxal is one of the natural forms available of vitamin B6, therefore, it is used for nutritional supplementation and for treating dietary shortage or imbalances.|Vitamin B Complex
Creatine|For nutritional supplementation, also for treating dietary shortage or imbalance|Dietary Supplements
L-Leucine|Indicated to assist in the prevention of the breakdown of muscle proteins that sometimes occur after trauma or severe stress.|Dietary Supplements
L-Tryptophan|Tryptophan may be useful in increasing serotonin production, promoting healthy sleep, managing depression by enhancing mental and emotional well-being, managing pain tolerance, and managing weight.|Antidepressive Agents, Second-Generation
L-Cysteine|For the prevention of liver damage and kidney damage associated with overdoses of acetaminophen|Dietary Supplements
Thiamine|For the treatment of thiamine and niacin deficiency states, Korsakov's alcoholic psychosis, Wernicke-Korsakov syndrome, delirium, and peripheral neuritis.|Vitamin B Complex
Ergocalciferol|For use in the management of hypocalcemia and its clinical manifestations in patients with hypoparathyroidism, as well as for the treatment of familial hypophosphatemia (vitamin D resistant rickets). This drug has also been used in the treatment of nutritional rickets or osteomalacia, vitamin D dependent rickets, rickets or osteomalacia secondary to long-term high dose anticonvulsant therapy, early renal osteodystrophy, osteoporosis (in conjunction with calcium), and hypophosphatemia associated with Fanconi syndrome (with treatment of acidosis).|Bone Density Conservation Agents
Dihomo-gamma-linolenic acid|For nutritional supplementation, also for treating dietary shortage or imbalance|Dietary Supplements
L-Citrulline|Used for nutritional supplementation, also for treating dietary shortage or imbalance.|Dietary Supplements
L-Threonine|L-Threonine makes up collagen, elastin, and enamel protein. It aids proper fat metabolism in the liver, helps the digestive and intestinal tracts function more smoothly, and assists in metabolism and assimilation.|Dietary Supplements
Folic Acid|For treatment of folic acid deficiency, megaloblastic anemia and in anemias of nutritional supplements, pregnancy, infancy, or childhood.|Hematinics
Icosapent|EPA can be used for lowering elevated triglycerides in those who are hyperglyceridemic. In addition, EPA may play a therapeutic role in patients with cystic fibrosis by reducing disease severity and may play a similar role in type 2 diabetics in slowing the progression of diabetic nephropathy.|Dietary Supplements
L-Alanine|Used for protein synthesis.|Dietary Supplements
L-Valine|Promotes mental vigor, muscle coordination, and calm emotions. May also be of use in a minority of patients with hepatic encephalopathy and in some with phenylketonuria.|Dietary Supplements
Vitamin A|For the treatment of vitamin A deficiency.|Vitamins
Vitamin E|Vitamin E, known for its antioxidant activities, is protective against cardiovascular disease and some forms of cancer and has also demonstrated immune-enhancing effects. It may be of limited benefit in some with asthma and rheumatoid arthritis. It may be helpful in some neurological diseases including Alzheimer's, some eye disorders including cataracts, and diabetes and premenstrual syndrome. It may also help protect skin from ultraviolet irradiation although claims that it reverses skin aging, enhances male fertility and exercise performance are poorly supported. It may help relieve some muscle cramps.|Antioxidants
Pyridoxine|For the treatment of vitamin B6 deficiency and for the prophylaxis of isoniazid-induced peripheral neuropathy.|Vitamin B Complex
Lipoic Acid|For nutritional supplementation, also for treating dietary shortage or imbalance.|Vitamin B Complex
L-Isoleucine|The branched-chain amino acids may have antihepatic encephalopathy activity in some. They may also have anticatabolic and antitardive dyskinesia activity.|Dietary Supplements
Aspartame|Used as a diet supplement and sugar substitute.|Sweetening Agents
Cholecalciferol|For the treatment of vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.|Bone Density Conservation Agents
Menadione|The primary known function of vitamin K is to assist in the normal clotting of blood, but it may also play a role in normal bone calcification.|Vitamins
Adenosine triphosphate|For nutritional supplementation, also for treating dietary shortage or imbalance|Dietary Supplements
L-Proline|L-Proline is extremely important for the proper functioning of joints and tendons and also helps maintain and strengthen heart muscles.|Dietary Supplements
Adenine|For nutritional supplementation, also for treating dietary shortage or imbalance|Dietary Supplements
L-Asparagine|Used for nutritional supplementation, also for treating dietary shortage or imbalance.|Dietary Supplements
Pravastatin|For the treatment of hypercholesterolemia and to reduce the risk of cardiovascular disease. |Hydroxymethylglutaryl-CoA Reductase Inhibitors
Fluvoxamine|For management of depression and for Obsessive Compulsive Disorder (OCD). Has also been used in the management of bulimia nervosa.|Antidepressive Agents, Second-Generation
Valsartan|May be used as a first line agent to treat uncomplicated hypertension, isolated systolic hypertension and left ventricular hypertrophy. May be used as a first line agent to delay progression of diabetic nephropathy. Losartan may be also used as a second line agent in the treatment of congestive heart failure, systolic dysfunction, myocardial infarction and coronary artery disease in those intolerant of ACE inhibitors.|Angiotensin Receptor Antagonists
Ramipril|For the management of mild to severe hypertension. May be used to reduce cardiovascular mortality following myocardial infarction in hemodynamically stable individuals who develop clinical signs of congestive heart failure within a few days following myocardial infarction. To reduce the rate of death, myocardial infarction and stroke in individuals at high risk of cardiovascular events. May be used to slow the progression of renal disease in individuals with hypertension, diabetes mellitus and microalubinuria or overt nephropathy.   |Angiotensin-Converting Enzyme Inhibitors
Masoprocol|Used for the treatment of actinic keratoses (precancerous skin growths that can become malignant if left untreated).|Antineoplastic Agents
Flunisolide|For the maintenance treatment of asthma as a prophylactic therapy.|component
Baclofen|For the alleviation of signs and symptoms of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity.|Neuromuscular Agents
Amphetamine|For treatment of Attention Deficit Disorder with Hyperactivity (ADDH) and narcolepsy in children.|Adrenergic Agents
Pentagastrin|Used as a diagnostic aid for evaluation of gastric acid secretory function|Diagnostic Agents
Nicotine|For the relief of nicotine withdrawal symptoms and as an aid to smoking cessation.|Ganglionic Stimulants
Cevimeline|For the treatment of symptoms of dry mouth in patients with Sj&ouml;gren's Syndrome.|component
Lorazepam|For the management of anxiety disorders, and for treatment of status epilepticus.|Hypnotics and Sedatives
Esmolol|For the rapid control of ventricular rate in patients with atrial fibrillation or atrial flutter in perioperative, postoperative, or other emergent circumstances where short term control of ventricular rate with a short-acting agent is desirable. Also used in noncompensatory sinus tachycardia where the rapid heart rate requires specific intervention.|component
Bortezomib|For treatment of multiple myeloma in patients who have not been successfully treated with at least two previous therapies.|function
Ethchlorvynol|Used for short-term hypnotic therapy in the management of insomnia for periods of up to one week in duration; however, this medication generally has been replaced by other sedative-hypnotic agents.|Hypnotics and Sedatives
Carbidopa|For treatment of the symptoms of idiopathic Parkinson's disease (paralysis agitans), post-encephalitic parkinsonism|Enzyme Inhibitors
Phentermine|For the treatment and management of obesity.|Adrenergic Agents
Indecainide|For the treatment of life-threatening dysrhythmias and sustained ventricular tachycardia.|Anti-Arrhythmia Agents
Tramadol|Indicated in the treatment of moderate to severe pain. Consider for those prone to constipation or respiratory depression. Tramadol is used to treat postoperative, dental, cancer, and acute musculosketetal pain and as an adjuvant to NSAID therapy in patients with osteoarthritis.|component
Vidarabine|For treatment of chickenpox - varicella, herpes zoster and herpes simplex|Antiviral Agents
Betaxolol|For the management of hypertension.|Antihypertensive Agents
Fluconazole|For the treatment of fungal infections.|Antifungal Agents
Oseltamivir|Oseltamivir (Tamiflu) is for the treatment of uncomplicated acute illness due to influenza infection in patients 1 year and older who have been symptomatic for no more than 2 days. It is also used for the prophylaxis of influenza in adult patients and adolescents 13 years and older.|Antiviral Agents
Erythromycin|For use in the treatment of infections caused by susceptible strains of microorganisms in the following diseases: respiratory tract infections (upper and lower) of mild to moderate degree, pertussis (whooping cough), as adjunct to antitoxin in infections due to <i>Corynebacterium diphtheriae</i>, in the treatment of infections due to <i>Corynebacterium minutissimum</i>, intestinal amebiasis caused by <i>Entamoeba histolytica</i>, acute pelvic inflammatory disease caused by <i>Neisseria gonorrhoeae</i>, skin and soft tissue infections of mild to moderate severity caused by <i>Streptococcus pyogenes</i> and <i>Staphylococcus aureus</i>, primary syphilis caused by <i>Treponema pallidum</i>, infections caused by <i>Chlamydia trachomatis</i>, nongonococcal urethritis caused by <i>Ureaplasma urealyticum</i>, and Legionnaires' disease caused by <i>Legionella pneumophila</i>.|Gastrointestinal Agents
Hydroxocobalamin|For treatment of pernicious anemia and the prevention and treatment of vitamin B12 deficiency arising from alcoholism, malabsorption, tapeworm infestation, celiac, hyperthyroidism, hepatic-biliary tract disease, persistent diarrhea, ileal resection, pancreatic cancer, renal disease, prolonged stress, vegan diets, macrobiotic diets or other restrictive diets. Also for the treatment of known or suspected cyanide poisoning.|Hematinics
Caffeine|For management of fatigue, orthostatic hypotension, and for the short term treatment of apnea of prematurity in infants.|Central Nervous System Stimulants
Succinylcholine|Used in surgical procedures where a rapid onset and brief duration of muscle relaxation is needed (includes intubation, endoscopies, and ECT)|Neuromuscular Depolarizing Agents
Sildenafil|For the treatment of erectile dysfunction and to relieve symptoms of pulmonary arterial hypertension (PAH). |function
Dofetilide|For the maintenance of normal sinus rhythm (delay in time to recurrence of atrial fibrillation/atrial flutter [AF/AFl]) in patients with atrial fibrillation/atrial flutter of greater than one week duration who have been converted to normal sinus rhythm|Anti-Arrhythmia Agents
Pyrimethamine|For the treatment of toxoplasmosis and acute malaria; For the prevention of malaria in areas non-resistant to pyrimethamine|Antimalarials
Reserpine|Foe the treatment of hypertension|Antihypertensive Agents
