eptifibatide|platelet aggregation inhibitors|For treatment of myocardial infarction and acute coronary syndrome.
serum albumin iodonated|diagnostic agents|For determination of total blood and plasma volumes
infliximab|antirheumatic agents|To manage the signs and symptoms, as well as to induce and maintain clinical remission in adults with moderate to severe active Crohn's disease or ulcerative colitis. Also used to manage signs and symptoms of rheumatoid arthritis (in conjunction with methotrexate), ankylosing spondylitis, psoriatic arthritis, and juvenile arthritis.
follitropin beta|fertility agents|For treatment of female infertility
vasopressin|antidiuretic agents|For the treatment of enuresis, polyuria, diabetes insipidus, polydipsia and oesophageal varices with bleeding
interferon beta-1b|adjuvants, immunologic|Interferon beta-1b is a drug used for the treatment of relapsing/remitting multiple sclerosis. It has been shown to slow the advance of the disease as well as to decrease the frequency of attacks.
interferon alfacon-1|antiviral agents|For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma
hyaluronidase|adjuvants, anesthesia|For increase of absorption and distribution of other injected drugs and for rehydration.
insulin, porcine|hypoglycemic agents|For the treatment of type I and II diabetes mellitus.
trastuzumab|antineoplastic agents|For treatment of early stage HER2-positive breast cancer, or metastatic breast cancer that substantially overexpress HER2.
rituximab|antineoplastic agents|For treatment of CD20-positive non-Hodgkins lymphoma, chronic lymphocytic leukemia, and rheumatoid arthritis.
basiliximab|immunosuppressive agents|For prophylactic treatment of kidney transplant rejection
muromonab|immunologic factors|For treatment of organ transplant recipients, prevention of organ rejection
digoxin immune fab (ovine)|antidotes|For treatment of digitoxin overdose or digitalis glycoside toxicity.
ibritumomab|component|For treatment of non-Hodgkin's lymphoma
daptomycin||For the treatment of complicated skin and skin structure infections caused by susceptible strains of Gram-positive microorganisms.
tositumomab|component|For treatment of non-Hodgkin's lymphoma (CD20 positive, follicular)
pegvisomant|hormone replacement agents|Pegvisomant is a growth hormone receptor antagonist used for the treatment of acromegaly.
botulinum toxin type a|neuromuscular blocking agents|For the treatment of cervical dystonia in adults to decrease the severity of abnormal head position and neck pain associated with cervical dystonia. Also for the treatment of severe primary axillary hyperhidrosis that is inadequately managed with topical agents and for the treatment of strabismus and blepharospasm associated with dystonia, including benign essential blepharospasm or VII nerve disorders in patients 12 years of age and above. Also used cosmetically to temporarily improve the appearance of moderate-to-severe frown lines between the eyebrows (glabellar lines) as well as for the treatment of excessive underarm sweating.
pancrelipase|gastrointestinal agents|For treatment of exocrine pancreatic insufficiency in cystic fibrosis (Ultresa™), chronic pancreatitis (Viokace™ in combination with a proton pump inhibitor), and pancreatectomy (Viokace™ in combination with a proton pump inhibitor).   
streptokinase|fibrinolytic agents|For the treatment of acute evolving transmural myocardial infarction, pulmonary embolism, deep vein thrombosis, arterial thrombosis or emolism and occlusion of arteriovenous cannulae
alemtuzumab|component|Alemtuzumab (Campath) is a monoclonal antibody therapy used for treatment of B-cell chronic lymphocytic leukemia.
alglucerase|enzyme replacement agents|For the treatment of Gaucher's disease (deficiency in glucocerebrosidase)
capromab|indicators and reagents|For diagnosis of prostate cancer and detection of intra-pelvic metastases.
laronidase|enzyme replacement agents|For the treatment of mucopolysaccharidosis
cyclosporine|antirheumatic agents|For treatment of transplant (kidney, liver, and heart) rejection, rheumatoid arthritis, severe psoriasis. 
alefacept|dermatologic agents|As an immunosuppressive drug, Alefacept can be used for treatment of moderate to severe chronic plaque psoriasis
felypressin|vasoconstrictor agents|For use as an alternative to adrenaline as a localising agent, provided that local ischaemia is not essential.
urofollitropin|fertility agents|For treatment of female infertility
efalizumab|immunosuppressive agents|For the treatment of adult patients with moderate to severe chronic plaque psoriasis, who are candidates for phototherapy or systemic therapy.
serum albumin|serum substitutes|For treatment of severe blood loss, hypervolemia, hypoproteinemia.
choriogonadotropin alfa|fertility agents|For the treatment of female infertility
antithymocyte globulin|immunologic factors|For prevention of renal transplant rejection
filgrastim|immunosuppressive agents|Filgrastim is used in patients with acute myeloid leukemia receiving induction or consolidation chemotherapy. It is also used in cancer patients receiving bone marrow transplant. In general, filgrastim increases neutrophil counts in order to decrease the risk of infection or duration of neutropenia in the aforementioned patient populations. Infection and neutropenia are adverse events associated with chemotherapy. Furthermore, filgrastim is also indicated for patients with severe chronic neutropenia. It mobilizes hematopoietic progenitor cells into the peripheral blood for collection by leukapheresis to allow for a more rapid engraftment. Tbo-filgrastim has a narrower indication profile than Neupogen - it is a leukocyte growth factor indicated for the reduction in the duration of severe neutropenia in patients with non-myeloid malignancies.
coagulation factor ix|coagulants|For treatment of hemophilia (Christmas disease).
becaplermin|angiogenesis inducing agents|For topical treatment of skin ulcers (from diabetes)
agalsidase beta|enzyme replacement agents|For treatment of Fabry's disease (alpha-galactosidase A deficiency)
octreotide|antineoplastic agents, hormonal|For treatment of acromegaly and reduction of side effects from cancer chemotherapy
interferon alfa-2b, recombinant|immunosuppressive agents|For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma.
abarelix|anti-testosterone agents|For palliative treatment of advanced prostate cancer.
oxytocin|oxytocics|Used for labor induction, augmentation of labor, postpartum abbreviation of third stage of labor, postpartum control of uterine bleeding, termination of pregnancy and for the evaluation of fetal respiratory capability. Oxytocin cannot be used for elective induction of labor, there must be a clear medical requirement. 
natalizumab|immunosuppressive agents|For treatment of multiple sclerosis.
enfuvirtide|hiv fusion inhibitors|Enfuvirtide is an antiretroviral drug used in combination therapy for the treatment of HIV-1/AIDS.
palivizumab|antiviral agents|For prophylaxis of respiratory diseases casued by respiratory syncytial virus.
daclizumab|immunosuppressive agents|Zenapax is a humanized monoclonal antibody used for prevention of renal transplant rejection
bevacizumab|angiogenesis inhibitors|As part of combination therapy for metastatic colorectal cancer and HER2-negative metastatic breast cancer.
arcitumomab|diagnostic agents|For imaging colorectal tumors
cyanocobalamin|vitamin b complex|For treatment of pernicious anemia (due to lack of or inhibition of intrinsic factor) and for prevention and treatment of vitamin B 12 deficiency.
tetrahydrofolic acid|dietary supplements|For nutritional supplementation, also for treating dietary shortage or imbalance.
l-histidine|dietary supplements|The actions of supplemental L-histidine are entirely unclear. It may have some immunomodulatory as well as antioxidant activity. L-histidine may be indicated for use in some with rheumatoid arthritis. It is not indicated for treatment of anemia or uremia or for lowering serum cholesterol.
s-adenosylmethionine|dietary supplements|S-Adenosylmethionine (SAMe) is used as a drug in Europe for the treatment of depression, liver disorders, fibromyalgia, and osteoarthritis. It has also been introduced into the United States market as a dietary supplement for the support of bone and joint health, as well as mood and emotional well being.
pyruvic acid|dietary supplements|For nutritional supplementation, also for treating dietary shortage or imbalance
l-phenylalanine|dietary supplements|L-phenylalanine may be helpful in some with depression. It may also be useful in the treatment of vitiligo. There is some evidence that L-phenylalanine may exacerbate tardive dyskinesia in some schizophrenic patients and in some who have used neuroleptic drugs.
biotin|vitamin b complex|For nutritional supplementation, also for treating dietary shortage or imbalance.
choline|lipotropic agents|For nutritional supplementation, also for treating dietary shortage or imbalance
l-lysine|dietary supplements|Supplemental L-lysine has putative anti-herpes simplex virus activity. There is preliminary research suggesting that it may have some anti-osteoporotic activity.
l-arginine|dietary supplements|Used for nutritional supplementation, also for treating dietary shortage or imbalance.
vitamin c|antioxidants|Used to treat vitamin C deficiency, scurvy, delayed wound and bone healing, urine acidification, and in general as an antioxidant. It has also been suggested to be an effective antiviral agent.
spermine|dietary supplements|For nutritional supplementation, also for treating dietary shortage or imbalance
l-aspartic acid|dietary supplements|There is no support for the claim that aspartates are exercise performance enhancers, i.e. ergogenic aids.
l-ornithine|dietary supplements|Used for nutritional supplementation, also for treating dietary shortage or imbalance. It has been claimed that ornithine improves athletic performance, has anabolic effects, has wound-healing effects, and is immuno-enhancing.
l-glutamine|dietary supplements|Used for nutritional supplementation, also for treating dietary shortage or imbalance.
adenosine monophosphate|dietary supplements|For nutritional supplementation, also for treating dietary shortage or imbalance
alpha-linolenic acid|dietary supplements|For nutritional supplementation and for treating dietary shortage or imbalance.
l-serine|dietary supplements|Used as a natural moisturizing agent in some cosmetics and skin care products.
l-methionine|dietary supplements|Used for protein synthesis including the formation of SAMe, L-homocysteine, L-cysteine, taurine, and sulfate.
l-tyrosine|dietary supplements|Tyrosine is claimed to act as an effective antidepressant, however results are mixed. Tyrosine has also been claimed to reduce stress and combat narcolepsy and chronic fatigue, however these claims have been refuted by some studies.
calcitriol|bone density conservation agents|Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.
xanthophyll|dietary supplements|Xanthophylls are taken for nutritional supplementation, and also for treating dietary shortage or imbalance.
l-cystine|dietary supplements|It has been claimed that L-cysteine has anti-inflammatory properties, that it can protect against various toxins, and that it might be helpful in osteoarthritis and rheumatoid arthritis. More research will have to be done before L-cysteine can be indicated for any of these conditions. Research to date has mostly been in animal models.
succinic acid|dietary supplements|For nutritional supplementation, also for treating dietary shortage or imbalance
riboflavin|vitamin b complex|For the treatment of ariboflavinosis (vitamin B2 deficiency).
n-acetyl-d-glucosamine|dietary supplements|For the treatment and prevention of osteoarthritis, by itself or in combination with chondroitin sulfate.
glutathione|dietary supplements|For nutritional supplementation, also for treating dietary shortage or imbalance
phosphatidylserine|dietary supplements|Phosphatidylserine has demonstrated some usefulness in treating cognitive impairment, including Alzheimer's disease, age-associated memory impairment and some non-Alzheimer's dementias. More research is needed before phosphatidylserine can be indicated for immune enhancement or for reduction of exercise stress.
glycine|glycine agents|Supplemental glycine may have antispastic activity. Very early findings suggest it may also have antipsychotic activity as well as antioxidant and anti-inflammatory activities.
calcidiol|bone density conservation agents|Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.
pyridoxal|vitamin b complex|Pyridoxal is one of the natural forms available of vitamin B6, therefore, it is used for nutritional supplementation and for treating dietary shortage or imbalances.
creatine|dietary supplements|For nutritional supplementation, also for treating dietary shortage or imbalance
l-leucine|dietary supplements|Indicated to assist in the prevention of the breakdown of muscle proteins that sometimes occur after trauma or severe stress.
l-tryptophan|antidepressive agents, second-generation|Tryptophan may be useful in increasing serotonin production, promoting healthy sleep, managing depression by enhancing mental and emotional well-being, managing pain tolerance, and managing weight.
l-cysteine|dietary supplements|For the prevention of liver damage and kidney damage associated with overdoses of acetaminophen
thiamine|vitamin b complex|For the treatment of thiamine and niacin deficiency states, Korsakov's alcoholic psychosis, Wernicke-Korsakov syndrome, delirium, and peripheral neuritis.
ergocalciferol|bone density conservation agents|For use in the management of hypocalcemia and its clinical manifestations in patients with hypoparathyroidism, as well as for the treatment of familial hypophosphatemia (vitamin D resistant rickets). This drug has also been used in the treatment of nutritional rickets or osteomalacia, vitamin D dependent rickets, rickets or osteomalacia secondary to long-term high dose anticonvulsant therapy, early renal osteodystrophy, osteoporosis (in conjunction with calcium), and hypophosphatemia associated with Fanconi syndrome (with treatment of acidosis).
dihomo-gamma-linolenic acid|dietary supplements|For nutritional supplementation, also for treating dietary shortage or imbalance
l-citrulline|dietary supplements|Used for nutritional supplementation, also for treating dietary shortage or imbalance.
l-threonine|dietary supplements|L-Threonine makes up collagen, elastin, and enamel protein. It aids proper fat metabolism in the liver, helps the digestive and intestinal tracts function more smoothly, and assists in metabolism and assimilation.
folic acid|hematinics|For treatment of folic acid deficiency, megaloblastic anemia and in anemias of nutritional supplements, pregnancy, infancy, or childhood.
icosapent|dietary supplements|EPA can be used for lowering elevated triglycerides in those who are hyperglyceridemic. In addition, EPA may play a therapeutic role in patients with cystic fibrosis by reducing disease severity and may play a similar role in type 2 diabetics in slowing the progression of diabetic nephropathy.
l-alanine|dietary supplements|Used for protein synthesis.
l-valine|dietary supplements|Promotes mental vigor, muscle coordination, and calm emotions. May also be of use in a minority of patients with hepatic encephalopathy and in some with phenylketonuria.
vitamin a|vitamins|For the treatment of vitamin A deficiency.
vitamin e|antioxidants|Vitamin E, known for its antioxidant activities, is protective against cardiovascular disease and some forms of cancer and has also demonstrated immune-enhancing effects. It may be of limited benefit in some with asthma and rheumatoid arthritis. It may be helpful in some neurological diseases including Alzheimer's, some eye disorders including cataracts, and diabetes and premenstrual syndrome. It may also help protect skin from ultraviolet irradiation although claims that it reverses skin aging, enhances male fertility and exercise performance are poorly supported. It may help relieve some muscle cramps.
pyridoxine|vitamin b complex|For the treatment of vitamin B6 deficiency and for the prophylaxis of isoniazid-induced peripheral neuropathy.
lipoic acid|vitamin b complex|For nutritional supplementation, also for treating dietary shortage or imbalance.
l-isoleucine|dietary supplements|The branched-chain amino acids may have antihepatic encephalopathy activity in some. They may also have anticatabolic and antitardive dyskinesia activity.
aspartame|sweetening agents|Used as a diet supplement and sugar substitute.
cholecalciferol|bone density conservation agents|For the treatment of vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.
menadione|vitamins|The primary known function of vitamin K is to assist in the normal clotting of blood, but it may also play a role in normal bone calcification.
adenosine triphosphate|dietary supplements|For nutritional supplementation, also for treating dietary shortage or imbalance
l-proline|dietary supplements|L-Proline is extremely important for the proper functioning of joints and tendons and also helps maintain and strengthen heart muscles.
adenine|dietary supplements|For nutritional supplementation, also for treating dietary shortage or imbalance
l-asparagine|dietary supplements|Used for nutritional supplementation, also for treating dietary shortage or imbalance.
pravastatin|hydroxymethylglutaryl-coa reductase inhibitors|For the treatment of hypercholesterolemia and to reduce the risk of cardiovascular disease. 
fluvoxamine|antidepressive agents, second-generation|For management of depression and for Obsessive Compulsive Disorder (OCD). Has also been used in the management of bulimia nervosa.
valsartan|angiotensin receptor antagonists|May be used as a first line agent to treat uncomplicated hypertension, isolated systolic hypertension and left ventricular hypertrophy. May be used as a first line agent to delay progression of diabetic nephropathy. Losartan may be also used as a second line agent in the treatment of congestive heart failure, systolic dysfunction, myocardial infarction and coronary artery disease in those intolerant of ACE inhibitors.
ramipril|angiotensin-converting enzyme inhibitors|For the management of mild to severe hypertension. May be used to reduce cardiovascular mortality following myocardial infarction in hemodynamically stable individuals who develop clinical signs of congestive heart failure within a few days following myocardial infarction. To reduce the rate of death, myocardial infarction and stroke in individuals at high risk of cardiovascular events. May be used to slow the progression of renal disease in individuals with hypertension, diabetes mellitus and microalubinuria or overt nephropathy.   
masoprocol|antineoplastic agents|Used for the treatment of actinic keratoses (precancerous skin growths that can become malignant if left untreated).
flunisolide|component|For the maintenance treatment of asthma as a prophylactic therapy.
baclofen|neuromuscular agents|For the alleviation of signs and symptoms of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity.
amphetamine|adrenergic agents|For treatment of Attention Deficit Disorder with Hyperactivity (ADDH) and narcolepsy in children.
pentagastrin|diagnostic agents|Used as a diagnostic aid for evaluation of gastric acid secretory function
nicotine|ganglionic stimulants|For the relief of nicotine withdrawal symptoms and as an aid to smoking cessation.
cevimeline|component|For the treatment of symptoms of dry mouth in patients with Sj&ouml;gren's Syndrome.
lorazepam|hypnotics and sedatives|For the management of anxiety disorders, and for treatment of status epilepticus.
esmolol|component|For the rapid control of ventricular rate in patients with atrial fibrillation or atrial flutter in perioperative, postoperative, or other emergent circumstances where short term control of ventricular rate with a short-acting agent is desirable. Also used in noncompensatory sinus tachycardia where the rapid heart rate requires specific intervention.
bortezomib|function|For treatment of multiple myeloma in patients who have not been successfully treated with at least two previous therapies.
ethchlorvynol|hypnotics and sedatives|Used for short-term hypnotic therapy in the management of insomnia for periods of up to one week in duration; however, this medication generally has been replaced by other sedative-hypnotic agents.
carbidopa|enzyme inhibitors|For treatment of the symptoms of idiopathic Parkinson's disease (paralysis agitans), post-encephalitic parkinsonism
phentermine|adrenergic agents|For the treatment and management of obesity.
indecainide|anti-arrhythmia agents|For the treatment of life-threatening dysrhythmias and sustained ventricular tachycardia.
tramadol|component|Indicated in the treatment of moderate to severe pain. Consider for those prone to constipation or respiratory depression. Tramadol is used to treat postoperative, dental, cancer, and acute musculosketetal pain and as an adjuvant to NSAID therapy in patients with osteoarthritis.
vidarabine|antiviral agents|For treatment of chickenpox - varicella, herpes zoster and herpes simplex
betaxolol|antihypertensive agents|For the management of hypertension.
fluconazole|antifungal agents|For the treatment of fungal infections.
oseltamivir|antiviral agents|Oseltamivir (Tamiflu) is for the treatment of uncomplicated acute illness due to influenza infection in patients 1 year and older who have been symptomatic for no more than 2 days. It is also used for the prophylaxis of influenza in adult patients and adolescents 13 years and older.
erythromycin|gastrointestinal agents|For use in the treatment of infections caused by susceptible strains of microorganisms in the following diseases: respiratory tract infections (upper and lower) of mild to moderate degree, pertussis (whooping cough), as adjunct to antitoxin in infections due to <i>Corynebacterium diphtheriae</i>, in the treatment of infections due to <i>Corynebacterium minutissimum</i>, intestinal amebiasis caused by <i>Entamoeba histolytica</i>, acute pelvic inflammatory disease caused by <i>Neisseria gonorrhoeae</i>, skin and soft tissue infections of mild to moderate severity caused by <i>Streptococcus pyogenes</i> and <i>Staphylococcus aureus</i>, primary syphilis caused by <i>Treponema pallidum</i>, infections caused by <i>Chlamydia trachomatis</i>, nongonococcal urethritis caused by <i>Ureaplasma urealyticum</i>, and Legionnaires' disease caused by <i>Legionella pneumophila</i>.
hydroxocobalamin|hematinics|For treatment of pernicious anemia and the prevention and treatment of vitamin B12 deficiency arising from alcoholism, malabsorption, tapeworm infestation, celiac, hyperthyroidism, hepatic-biliary tract disease, persistent diarrhea, ileal resection, pancreatic cancer, renal disease, prolonged stress, vegan diets, macrobiotic diets or other restrictive diets. Also for the treatment of known or suspected cyanide poisoning.
caffeine|central nervous system stimulants|For management of fatigue, orthostatic hypotension, and for the short term treatment of apnea of prematurity in infants.
succinylcholine|neuromuscular depolarizing agents|Used in surgical procedures where a rapid onset and brief duration of muscle relaxation is needed (includes intubation, endoscopies, and ECT)
sildenafil|function|For the treatment of erectile dysfunction and to relieve symptoms of pulmonary arterial hypertension (PAH). 
dofetilide|anti-arrhythmia agents|For the maintenance of normal sinus rhythm (delay in time to recurrence of atrial fibrillation/atrial flutter [AF/AFl]) in patients with atrial fibrillation/atrial flutter of greater than one week duration who have been converted to normal sinus rhythm
pyrimethamine|antimalarials|For the treatment of toxoplasmosis and acute malaria; For the prevention of malaria in areas non-resistant to pyrimethamine
reserpine|antihypertensive agents|Foe the treatment of hypertension
azithromycin|anti-bacterial agents|For the treatment of patients with mild to moderate infections caused by susceptible strains of the designated microorganisms in the specific conditions: <i>H. influenzae</i>, <i>M. catarrhalis</i>, <i>S. pneumoniae</i>, <i>C. pneumoniae</i>, <i>M. pneumoniae</i>, <i>S. pyogenes</i>, <i>S. aureus</i>, <i>S. agal</i>
ticlopidine|component|Used in patients, who have had a stroke or stroke precursors and who cannot take aspirin or aspirin has not worked, to try to prevent another thrombotic stroke.
trospium|component|For the treatment of overactive bladder with symptoms of urge urinary incontinence, urgency, and urinary frequency, detrusor instability and frequency of micturition.
adapalene|anti-inflammatory agents, non-steroidal|For the topical treatment of comedo, papular and pustular acne (acne vulgaris) of the face, chest or back.
midodrine|vasoconstrictor agents|For the treatment of symptomatic orthostatic hypotension (OH).
remikiren|function|For the treatment of hypertension and heart failure
pantoprazole|anti-ulcer agents|Short-term (up to 16 weeks) treatment of erosive esophagitis.
torasemide|antihypertensive agents|For the treatment of edema associated with congestive heart failure, renal disease, or hepatic disease. Also for the treatment of hypertension alone or in combination with other antihypertensive agents.
citalopram|antidepressive agents, second-generation|For the treatment of depression. Unlabeled indications include: treatment of mild dementia-associated agitation in nonpsychotic patients, smoking cessation, ethanol abuse, obsessive-compulsive disorder (OCD) in children, and diabetic neuropathy. 
